Open time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1632952800000,41219.02,41442.46,41050.12,41334.13,8366.608,345269465.54882,83464,4253.595,175543276.81839
1632956400000,41332.86,41547.58,41270.00,41499.71,6923.919,286767995.62825,74353,3931.372,162848540.61783
1632960000000,41499.70,42399.37,41387.78,42305.62,20800.100,871792595.86007,184527,11374.275,476747257.02552
1632963600000,42303.25,43199.00,42222.00,42953.64,30889.992,1322147126.46855,278115,16149.596,691174038.65974
1632967200000,42953.64,43400.00,42900.00,43382.58,14474.288,623851236.88545,141845,7879.470,339702636.21149
1632970800000,43382.58,43732.71,43125.00,43566.97,20754.579,900389895.15449,180596,11134.605,483262965.03064
1632974400000,43566.97,43822.85,43425.66,43494.83,13904.864,606321227.83452,140401,6468.814,282123679.23416
1632978000000,43494.84,43679.74,43421.45,43506.32,9024.135,392960628.43899,95073,4330.956,188620590.39520
1632981600000,43506.33,43645.00,43350.00,43363.40,8660.282,376947630.46187,85631,4345.586,189212764.32512
1632985200000,43363.41,43440.00,43206.00,43276.02,11894.516,515429143.69218,107912,5655.544,245080567.76830
1632988800000,43276.02,43442.83,42777.00,43048.12,27990.824,1205157006.91570,209416,13596.046,585476687.68878
1632992400000,43048.12,43299.70,42960.00,43132.35,12698.020,547702466.29257,120482,6610.920,285209836.69329
1632996000000,43132.35,43277.00,42710.40,42817.82,12993.897,558897455.37997,130084,6566.841,282533335.86684
1632999600000,42817.79,43124.25,42765.32,43055.44,10383.152,446229028.08025,112379,5594.121,240423334.08908
1633003200000,43055.44,43778.88,42985.00,43393.80,26398.442,1145783395.86385,229511,14191.910,616015735.07299
1633006800000,43393.81,43564.00,43045.00,43051.49,19724.266,853731874.93555,178362,9817.266,425021934.51614
1633010400000,43051.50,43175.36,42820.00,43097.70,16550.437,711883422.21432,158990,8096.575,348328525.16647
1633014000000,43098.00,43475.84,42922.00,43126.77,18304.636,790678163.74570,165442,9451.018,408256328.36022
1633017600000,43126.77,43200.00,42810.06,42946.33,13116.202,563807749.63032,125860,6660.739,286326929.86934
1633021200000,42946.32,43400.00,42926.67,43313.06,18211.466,786368196.84311,153444,10092.414,435885078.48489
1633024800000,43313.77,44069.74,43250.00,43975.01,27893.633,1218656004.04279,240895,15821.122,691251407.92158
1633028400000,43975.01,44100.00,43507.00,43515.50,16363.019,717214405.95068,157953,7223.208,316646792.75994
1633032000000,43515.27,43766.32,43071.56,43417.83,14154.448,614598741.27992,141194,6666.869,289583485.98901
1633035600000,43417.82,43773.71,43350.79,43729.27,7930.712,345372780.26070,83513,4491.394,195641154.76806
1633039200000,43729.27,43889.68,43607.71,43710.62,7844.625,342993281.38504,88387,3720.351,162689414.90971
1633042800000,43710.63,43880.00,43556.16,43796.57,8225.111,359741872.42516,85125,3721.426,162775511.56066
1633046400000,43799.49,44043.22,43637.43,43672.26,17392.209,762299685.10225,137358,8748.713,383601633.09967
1633050000000,43671.50,43782.67,43401.99,43716.80,9846.998,429158409.29340,102163,5119.869,223192656.34911
1633053600000,43716.80,43772.00,43260.01,43373.51,8994.844,391030001.64307,90407,4316.327,187653814.13707
1633057200000,43373.52,43660.00,43338.18,43609.27,9157.926,398585429.45784,83128,4809.024,209310594.80596
1633060800000,43609.27,43680.37,43437.00,43604.68,5782.471,251864642.00638,64701,2956.479,128775032.19746
1633064400000,43604.67,43860.81,43490.23,43819.99,8896.961,389126033.39118,94338,4753.076,207888030.04104
1633068000000,43819.99,44024.11,43705.00,43964.77,13457.989,590669475.91036,122351,6702.727,294238053.58135
1633071600000,43964.78,44793.97,43885.00,44753.98,37038.676,1647229505.79294,317758,21256.712,945230998.33883
1633075200000,44753.98,45000.00,44679.84,44907.52,21064.257,944051950.25886,187499,11019.510,494044055.39629
1633078800000,44907.51,44980.00,44753.00,44888.92,10894.293,488923685.21077,112820,5299.600,237857147.43675
1633082400000,44888.92,47925.41,44820.79,47086.56,90210.886,4216967600.27587,718262,51260.221,2393511248.08617
1633086000000,47086.56,47683.99,46960.00,47482.27,30902.452,1462515228.15571,291313,15896.275,752478991.89564
1633089600000,47482.28,47888.00,47160.00,47217.73,31866.655,1513110674.81720,292571,15386.171,730792829.13272
1633093200000,47217.73,47368.06,46937.17,46967.87,16371.293,772520460.20334,164179,7988.533,377080968.74613
1633096800000,46967.86,47337.74,46756.58,47108.59,22725.307,1068749119.14592,218940,11142.921,524148368.74068
1633100400000,47109.63,47474.41,47013.42,47339.99,15211.149,718908496.92693,153946,7974.876,377014708.81330
1633104000000,47340.00,47899.00,47210.92,47536.92,17254.904,819434512.03600,165532,9443.580,448620679.24540
1633107600000,47538.22,47687.35,47376.44,47595.00,7051.546,334974231.64187,81712,3608.724,171456545.19528
1633111200000,47593.38,47900.00,47421.16,47701.33,12620.070,601855762.14763,132109,6438.834,307098988.92604
1633114800000,47703.25,48234.29,47685.00,48009.37,16711.614,800856183.03242,163692,9117.045,437062791.96208
1633118400000,48009.51,48187.52,47710.74,48068.15,11282.502,540817655.42794,121566,5660.179,271365396.91505
1633122000000,48060.76,48395.00,48055.18,48317.01,14796.355,713735834.48134,150600,8297.300,400339142.30624
1633125600000,48317.01,48450.00,47720.00,47990.00,14503.580,697321695.50284,149887,7183.515,345380163.15680
1633129200000,47989.99,48154.00,47904.59,48123.94,5456.831,262040733.55548,65609,2818.753,135380050.87932
1633132800000,48123.93,48218.80,47603.06,47801.55,12136.208,580390726.07791,132581,5833.616,278963948.65353
1633136400000,47801.54,48070.00,47665.84,47718.86,7403.093,354208885.51304,88492,3752.210,179549275.42556
1633140000000,47718.86,47850.00,47622.33,47689.56,4889.610,233369929.82733,61456,2432.696,116105335.29120
1633143600000,47689.56,47760.90,47429.21,47510.45,6872.965,326927825.33080,80934,3200.511,152249195.04986
1633147200000,47510.44,47678.76,47410.00,47564.68,5962.200,283481043.87046,73365,3010.269,143141460.59415
1633150800000,47564.68,47793.81,47496.75,47718.47,6418.505,306148805.65272,73782,3430.680,163638572.10822
1633154400000,47718.46,47888.00,47638.05,47779.84,5905.594,282053372.23429,64471,3083.525,147281637.95858
1633158000000,47779.83,47840.00,47667.79,47702.96,4264.960,203632357.11519,55691,2008.706,95917892.28269
1633161600000,47701.38,47757.69,47495.40,47710.00,7928.417,377464788.33944,82666,4074.789,194026768.83182
1633165200000,47707.61,47867.80,47653.10,47689.24,5933.036,283311981.97312,72562,2947.527,140766161.59124
1633168800000,47689.24,47750.00,47500.00,47583.34,6578.175,313207288.73136,78087,3009.386,143324764.45242
1633172400000,47583.34,47721.92,47450.81,47665.00,6172.881,293686736.15943,72947,3183.876,151509203.31757
1633176000000,47664.99,47760.04,47600.00,47705.06,4677.828,223109747.84654,60826,2329.937,111135229.53401
1633179600000,47705.06,48338.68,47620.00,47812.00,19912.410,953701045.40605,195744,10824.221,518551624.05693
1633183200000,47812.00,48100.11,47770.81,47994.99,14126.616,677415778.57212,157436,6715.629,322046694.84105
1633186800000,47995.00,48024.96,47777.00,47812.24,6658.092,318845069.46051,78365,3409.621,163285479.34185
1633190400000,47812.23,47987.25,47638.09,47981.54,9233.990,441527450.65868,104474,4894.863,234079747.10596
1633194000000,47981.54,48043.35,47809.04,47861.21,5416.280,259499354.50176,63186,2704.434,129584018.53620
1633197600000,47861.20,47909.00,47701.88,47850.00,4087.080,195404872.25864,54093,1891.513,90446872.43627
1633201200000,47850.71,48238.15,47849.04,48234.41,10640.881,511779565.62385,109998,5587.316,268681514.13638
1633204800000,48233.07,48254.68,47869.70,47989.48,7113.985,341593845.51762,83891,3639.321,174747518.25725
1633208400000,47989.49,48154.93,47985.06,48107.08,2706.573,130078733.58520,42973,1471.345,70715570.14844
1633212000000,48108.57,48270.20,48042.34,48049.28,5062.171,243768571.61151,63489,2572.179,123886386.37464
1633215600000,48049.28,48175.99,47536.67,47626.61,12464.438,595524851.65755,142507,5633.368,269087406.09413
1633219200000,47626.62,47794.00,47071.26,47255.75,16259.189,770788419.91547,172965,7138.965,338415617.84166
1633222800000,47255.74,47601.78,47215.15,47507.28,8315.849,394112492.21739,99451,4696.513,222617678.16897
1633226400000,47507.29,47758.04,47483.98,47617.00,6353.947,302679031.24379,81149,3428.793,163355486.63073
1633230000000,47617.00,47963.00,47535.00,47890.05,5756.511,274738114.95930,75164,3292.683,157165448.23121
1633233600000,47890.05,47958.88,47776.58,47877.01,3927.738,187979267.05460,64037,2053.444,98288726.13232
1633237200000,47877.01,48080.00,47848.36,47972.28,5529.952,265384855.26695,84152,2883.819,138402655.88369
1633240800000,47972.27,48040.00,47881.12,47953.00,4014.771,192514657.18242,61548,1834.366,87967637.97774
1633244400000,47953.00,47953.50,47778.27,47874.99,4261.052,203959219.78965,65966,2119.397,101455764.58736
1633248000000,47875.00,47962.18,47801.10,47811.00,3719.657,178134014.58340,59810,1801.364,86271434.32522
1633251600000,47811.00,47854.14,47601.26,47817.42,7913.344,377670793.09575,106460,3783.006,180558177.79930
1633255200000,47817.42,47939.70,47711.14,47800.00,4664.587,223165310.80681,70784,2322.319,111110577.79441
1633258800000,47800.00,48029.22,47763.00,47961.48,5875.447,281694624.79664,78842,3255.819,156111043.02238
1633262400000,47961.47,48090.30,47800.00,47947.51,6588.562,315925174.06796,88659,3355.394,160919846.01078
1633266000000,47947.99,48150.00,47832.76,48041.83,8272.054,397185443.66786,105560,4497.911,216000084.47911
1633269600000,48041.84,48100.00,47880.80,47956.01,5009.240,240329596.57130,80273,2491.934,119569458.21114
1633273200000,47956.03,48018.57,47790.42,47863.50,5689.741,272450448.28868,89003,2618.176,125388261.17409
1633276800000,47863.51,48060.67,47809.00,48017.52,5913.006,283505985.08705,85512,3251.593,155922758.87988
1633280400000,48017.51,49304.12,47922.33,48922.00,32467.374,1580995485.17840,299143,18981.464,924155648.73896
1633284000000,48921.99,49179.19,48546.90,48830.01,18619.673,910691970.40485,204021,8983.992,439440190.33760
1633287600000,48830.00,48966.33,48710.31,48774.37,5363.709,262017570.82757,68958,2605.565,127304713.65579
1633291200000,48774.38,48835.25,48415.00,48436.27,8283.005,402846486.98168,96697,3840.746,186834738.58469
1633294800000,48436.26,48465.88,47608.55,47760.27,22830.056,1095080436.36065,210819,10718.577,514100571.89078
1633298400000,47761.71,48189.00,47700.00,47975.00,9723.414,466831785.46651,110606,4803.281,230607713.07020
1633302000000,47974.99,48324.00,47866.77,48187.30,7058.497,339749837.93177,95638,3725.815,179347471.57940
1633305600000,48187.99,48268.98,47825.11,47855.01,8783.004,421937070.32438,107615,4239.485,203702731.17021
1633309200000,47855.01,48182.90,47714.00,47819.33,9780.393,468616766.49658,105693,4951.037,237280523.29335
1633312800000,47819.43,47879.00,47549.38,47673.82,9803.963,467857111.55349,103271,4180.666,199533971.96814
1633316400000,47673.82,47772.77,47284.66,47457.68,11132.838,529334331.86492,125891,5359.504,254890183.68018
1633320000000,47457.30,47836.79,47214.58,47740.01,15584.609,740820434.55969,146444,8236.455,391573442.35281
1633323600000,47743.76,47848.14,47700.02,47758.20,4563.351,217987840.73535,64945,2348.304,112183367.53135
1633327200000,47758.19,47826.00,47551.00,47698.12,6017.078,286831314.63318,80488,3176.456,151428807.94785
1633330800000,47698.12,47860.50,47589.88,47836.39,4884.364,233067465.21775,64370,2805.890,133911921.63130
1633334400000,47836.40,47941.50,47476.26,47652.75,9413.070,448909149.54509,104612,4718.902,225097332.63809
1633338000000,47652.76,47742.99,47520.00,47717.93,4338.445,206697880.51000,63832,2060.305,98160608.33640
1633341600000,47717.94,47739.73,47480.00,47616.82,6235.532,296743526.65915,78020,2834.950,134917300.40579
1633345200000,47617.34,47670.00,47349.34,47570.00,7803.594,370640604.34884,100063,3724.682,176930454.95374
1633348800000,47569.99,47814.94,47440.54,47702.39,7232.876,344799075.32397,97521,3681.401,175514760.92493
1633352400000,47702.38,48160.00,47670.62,48101.09,10179.104,487275829.04744,143044,5887.383,281904625.02943
1633356000000,48100.00,48500.00,47250.00,47452.16,35771.131,1712834319.33885,341439,17266.592,827062026.71575
1633359600000,47452.15,47795.00,46885.29,47747.79,31994.905,1515380733.10778,298771,15894.063,753174041.84770
1633363200000,47747.79,48916.00,47680.61,48573.49,37136.318,1798789491.26723,338118,19561.534,947257980.37632
1633366800000,48568.37,49544.48,48168.00,49287.87,33470.569,1635997314.06366,323236,17862.488,873522857.61201
1633370400000,49287.88,49500.00,49000.00,49304.97,17813.312,877607022.87210,197192,8886.980,437881265.80864
1633374000000,49304.97,49450.00,48915.00,49374.94,13206.487,649263046.21357,155245,6685.907,328742332.95414
1633377600000,49368.39,49479.52,48985.55,49014.31,9259.719,455646635.24207,117395,4487.573,220885708.46428
1633381200000,49012.36,49168.00,48551.07,48928.66,10094.505,493322246.69871,115894,4834.033,236309805.54937
1633384800000,48928.66,49056.88,48680.00,48897.51,7173.157,350495224.63608,85125,3386.701,165523282.66825
1633388400000,48897.52,49423.23,48880.00,49198.22,12752.513,627579112.55943,132779,6628.375,326218653.47080
1633392000000,49199.78,49888.00,49009.21,49515.85,19196.031,949876970.15830,196367,10621.805,525771754.57635
1633395600000,49515.86,49592.53,49150.00,49230.55,8370.649,413016463.73656,93017,3911.310,192978675.24812
1633399200000,49226.84,49369.61,49040.05,49302.31,6114.187,300803255.39367,79885,3131.990,154098562.81990
1633402800000,49302.31,49465.00,49110.00,49277.76,6507.838,320644826.67455,75414,3199.943,157668313.66547
1633406400000,49277.77,49305.60,49061.00,49143.06,4959.031,243869627.28612,63978,2209.920,108685887.59320
1633410000000,49143.05,49391.51,49114.15,49293.70,5865.784,288981584.00986,68775,3224.787,158874798.36025
1633413600000,49293.71,49443.00,49224.70,49277.79,4929.946,243260346.38493,64515,2473.225,122049132.38320
1633417200000,49277.80,49657.38,49221.00,49447.41,8715.969,431162345.04961,97448,4427.418,219029878.11011
1633420800000,49444.97,49950.00,49360.00,49901.49,14160.598,703900628.95010,158494,7996.584,397619892.05911
1633424400000,49900.96,50310.00,49560.00,50240.03,29581.587,1478329472.14063,290726,15332.423,766476675.28476
1633428000000,50240.03,50364.38,49823.08,49985.42,15021.378,752580654.92648,170425,7289.412,365247887.59794
1633431600000,49985.42,50118.33,49773.82,49850.00,9458.142,472677745.07110,111171,4475.184,223704250.77192
1633435200000,49849.99,50080.00,49656.00,49966.87,11040.301,550742907.29741,119340,5550.469,276940332.28259
1633438800000,49966.87,50285.00,49751.00,50175.00,12746.279,637681604.82340,136022,6488.333,324627236.16998
1633442400000,50175.00,50344.77,49574.23,49814.12,18548.686,926054680.20423,198658,8699.521,434408733.64864
1633446000000,49814.12,50154.00,49676.00,49770.90,13079.838,652922338.13564,138160,6417.650,320423897.39948
1633449600000,49770.91,50085.40,49614.59,50071.34,11703.243,583697697.74550,120492,6041.588,301359625.82542
1633453200000,50070.48,50180.16,49923.12,50106.80,6868.155,343897878.60703,84315,3463.326,173442518.98915
1633456800000,50106.80,50787.92,50106.80,50580.01,19622.929,990282839.23109,200827,11155.778,563036545.33583
1633460400000,50580.00,51450.00,50518.44,51164.85,27750.190,1413723220.47968,255530,15097.743,769509984.16764
1633464000000,51164.86,51790.00,51080.00,51446.92,27085.036,1392885587.78828,255321,14728.268,757622406.25592
1633467600000,51446.93,51888.00,51300.00,51705.70,15076.567,778104765.50783,162462,8082.326,417263727.00572
1633471200000,51705.70,51768.00,51308.34,51345.32,9993.733,514247049.21819,105434,4808.823,247465557.46218
1633474800000,51345.32,51619.37,51339.04,51455.12,7647.716,393859875.03058,81191,4210.150,216848187.37835
1633478400000,51460.22,51490.05,51200.10,51320.07,8890.083,456212787.89576,92541,4548.994,233476641.98105
1633482000000,51320.07,51328.62,50905.00,51265.55,10658.525,544993740.36008,109716,5126.577,262162838.62306
1633485600000,51265.56,51585.71,51147.13,51520.00,7097.736,364649325.61672,82687,3957.141,203327555.39440
1633489200000,51520.00,51575.47,51270.53,51484.84,6440.345,331364992.35568,76898,2978.012,153245541.59900
1633492800000,51484.84,51570.96,51215.24,51300.86,6415.111,329512289.23116,79599,3143.139,161450808.46571
1633496400000,51301.18,51839.99,51164.43,51513.39,12493.416,643446701.30144,124616,6513.949,335579605.63676
1633500000000,51513.38,51730.00,51450.00,51509.24,6270.516,323551885.81545,74211,3132.493,161633041.87782
1633503600000,51509.24,51547.10,51200.00,51430.03,9486.405,487537277.65197,103528,4704.303,241791965.52147
1633507200000,51430.03,51490.96,50437.54,50700.61,30158.013,1534414925.17441,279610,13594.722,691603875.76198
1633510800000,50700.61,50840.00,50410.00,50714.92,17795.219,900512578.89567,171594,9296.796,470564938.59197
1633514400000,50714.92,51482.99,50630.08,51155.01,22455.836,1148261242.36298,205824,11842.175,605425568.12062
1633518000000,51155.76,51468.40,51088.00,51296.44,10314.604,529190998.84627,117839,5132.854,263368523.61654
1633521600000,51296.44,52818.00,51248.94,52706.47,45299.755,2365005041.65358,426209,25806.951,1347160082.92326
1633525200000,52706.47,56416.02,52588.30,54035.59,88100.039,4780840830.43056,852677,47331.422,2568319613.61199
1633528800000,54035.99,54588.88,53802.00,54529.77,24364.054,1320531130.92365,259999,13310.791,721536527.58360
1633532400000,54529.77,55160.00,54289.12,55014.04,23101.897,1264128849.48668,256834,12376.498,677325218.87067
1633536000000,55014.04,55081.09,54510.00,54912.03,17701.019,969207985.40060,195881,8742.367,478691116.79547
